"retrieval_time","user_name","host_name","licenses_used_by_user","is_reservation","licenses_total","licenses_total_in_use","feature_name","feature_version","daemon_name","server_master_port","server_master_host","server_port","server_host"
"1/26/2021 18:20","","","","","8","2","AMG","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M57688","ITE00553112","1","","8","2","AMG","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","j55883","ITE00455353","1","","8","2","AMG","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","","","","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","s100096","ITE00463355","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","s108553","ITE00493331","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M56078","ITE00515586","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","beverda","ITE00509738","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M46937","ITE00514431","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M53770","ITE00510791","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","J37728","ITE00461825","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M39180","ITE00509788","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M69146","ITE00447372","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M56698","ITE00544413","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","J37665","ITE00455784","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","J78906","ITE00468463","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M34157","ITE00487778","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M48385","ITE00512727","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","s112342","ITE00442419","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","M32187","ITE00552607","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","s382924","ITE00452858","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
"1/26/2021 18:20","J75255","ITE00565853","1","","112","36","CAI","5.28","Dassault Systemes","","","4084","asdsls30"
